OBJECTID,ID_0,ISO,NAME_0,ID_1,NAME_1,,ID_2,NAME_2,ID_3,NAME_3,TYPE_3,ENGTYPE_3,NL_NAME_3,VARNAME_3,site,cropping,climate,impacts,risk,practices,enablers
1,171,PAK,Pakistan,1,Azad Kashmir,Azad Kashmir,1,Azad Kashmir,1,Bagh,District,District,NA,NA,0,0,0,0,0,0,0
2,171,PAK,Pakistan,1,Azad Kashmir,Azad Kashmir,1,Azad Kashmir,2,Bhimber,District,District,NA,NA,0,0,0,0,0,0,0
3,171,PAK,Pakistan,1,Azad Kashmir,Azad Kashmir,1,Azad Kashmir,3,Kotli,District,District,NA,NA,0,0,0,0,0,0,0
4,171,PAK,Pakistan,1,Azad Kashmir,Azad Kashmir,1,Azad Kashmir,4,Mirpur,District,District,NA,NA,0,0,0,0,0,0,0
5,171,PAK,Pakistan,1,Azad Kashmir,Azad Kashmir,1,Azad Kashmir,5,Muzaffarabad,District,District,NA,NA,0,0,0,0,0,0,0
6,171,PAK,Pakistan,1,Azad Kashmir,Azad Kashmir,1,Azad Kashmir,6,Neelum,District,District,NA,NA,0,0,0,0,0,0,0
7,171,PAK,Pakistan,1,Azad Kashmir,Azad Kashmir,1,Azad Kashmir,7,Poonch,District,District,NA,NA,0,0,0,0,0,0,0
8,171,PAK,Pakistan,1,Azad Kashmir,Azad Kashmir,1,Azad Kashmir,8,Sudhnati,District,District,NA,NA,0,0,0,0,0,0,0
9,171,PAK,Pakistan,2,Baluchistan,Baluchistan,2,Kalat,9,Awaran,District,District,NA,NA,0,0,0,0,0,0,0
10,171,PAK,Pakistan,2,Baluchistan,Baluchistan,2,Kalat,10,Disputed Area 1,District,District,NA,NA,0,0,0,0,0,0,0
11,171,PAK,Pakistan,2,Baluchistan,Baluchistan,2,Kalat,11,Disputed Area 2,District,District,NA,NA,0,0,0,0,0,0,0
12,171,PAK,Pakistan,2,Baluchistan,Baluchistan,2,Kalat,12,Kalat,District,District,NA,NA,0,0,0,0,0,0,0
13,171,PAK,Pakistan,2,Baluchistan,Baluchistan,2,Kalat,13,Kharan,District,District,NA,NA,0,0,0,0,0,0,0
14,171,PAK,Pakistan,2,Baluchistan,Baluchistan,2,Kalat,14,Khuzdar,District,District,NA,NA,0,0,0,0,0,0,0
15,171,PAK,Pakistan,2,Baluchistan,Baluchistan,2,Kalat,15,Lasbela,District,District,NA,NA,0,0,0,0,0,0,0
16,171,PAK,Pakistan,2,Baluchistan,Baluchistan,2,Kalat,16,Mastung,District,District,NA,Mustung,0,0,0,0,0,0,0
17,171,PAK,Pakistan,2,Baluchistan,Baluchistan,3,Makran,17,Gwadar,District,District,NA,NA,0,0,0,0,0,0,0
18,171,PAK,Pakistan,2,Baluchistan,Baluchistan,3,Makran,18,Kech,District,District,NA,NA,0,0,0,0,0,0,0
19,171,PAK,Pakistan,2,Baluchistan,Baluchistan,3,Makran,19,Panjgur,District,District,NA,NA,0,0,0,0,0,0,0
20,171,PAK,Pakistan,2,Baluchistan,Baluchistan,4,Nasirabad,20,Bolan,District,District,NA,NA,0,0,0,0,0,0,0
21,171,PAK,Pakistan,2,Baluchistan,Baluchistan,4,Nasirabad,21,Jafarabad,District,District,NA,Nasir Abad,0,0,0,0,0,0,0
22,171,PAK,Pakistan,2,Baluchistan,Baluchistan,4,Nasirabad,22,Jhal Magsi,District,District,NA,NA,0,0,0,0,0,0,0
23,171,PAK,Pakistan,2,Baluchistan,Baluchistan,4,Nasirabad,23,Nasirabad,District,District,NA,Nasir Abad,0,0,0,0,0,0,0
24,171,PAK,Pakistan,2,Baluchistan,Baluchistan,5,Quetta,24,Chagai,District,District,NA,NA,0,0,0,0,0,0,0
25,171,PAK,Pakistan,2,Baluchistan,Baluchistan,5,Quetta,25,Pishin,District,District,NA,NA,0,0,0,0,0,0,0
26,171,PAK,Pakistan,2,Baluchistan,Baluchistan,5,Quetta,26,Qilla Abdullah,District,District,NA,NA,0,0,0,0,0,0,0
27,171,PAK,Pakistan,2,Baluchistan,Baluchistan,5,Quetta,27,Quetta,District,District,NA,NA,0,0,0,0,0,0,0
28,171,PAK,Pakistan,2,Baluchistan,Baluchistan,6,Sibi,28,Dera Bugti,District,District,NA,NA,0,0,0,0,0,0,0
29,171,PAK,Pakistan,2,Baluchistan,Baluchistan,6,Sibi,29,Kholu,District,District,NA,NA,0,0,0,0,0,0,0
30,171,PAK,Pakistan,2,Baluchistan,Baluchistan,6,Sibi,30,Sibi,District,District,NA,NA,0,0,0,0,0,0,0
31,171,PAK,Pakistan,2,Baluchistan,Baluchistan,6,Sibi,31,Ziarat,District,District,NA,NA,0,0,0,0,0,0,0
32,171,PAK,Pakistan,2,Baluchistan,Baluchistan,7,Zhob,32,Barkhan,District,District,NA,NA,0,0,0,0,0,0,0
33,171,PAK,Pakistan,2,Baluchistan,Baluchistan,7,Zhob,33,Loralai,District,District,NA,NA,0,0,0,0,0,0,0
34,171,PAK,Pakistan,2,Baluchistan,Baluchistan,7,Zhob,34,Musakhel,District,District,NA,NA,0,0,0,0,0,0,0
35,171,PAK,Pakistan,2,Baluchistan,Baluchistan,7,Zhob,35,Qilla Saifullah,District,District,NA,NA,0,0,0,0,0,0,0
36,171,PAK,Pakistan,2,Baluchistan,Baluchistan,7,Zhob,36,Zhob,District,District,NA,NA,0,0,0,0,0,0,0
37,171,PAK,Pakistan,3,KP,KP,8,F.A.T.A.,37,Bajaur,District,District,NA,NA,0,0,0,0,0,0,0
38,171,PAK,Pakistan,3,KP,KP,8,F.A.T.A.,38,Khyber,District,District,NA,NA,0,0,0,0,0,0,0
39,171,PAK,Pakistan,3,KP,KP,8,F.A.T.A.,39,Kurram,District,District,NA,NA,1,1,1,1,1,1,0
40,171,PAK,Pakistan,3,KP,KP,8,F.A.T.A.,40,Largha Shirani,District,District,NA,NA,0,0,0,0,0,0,0
41,171,PAK,Pakistan,3,KP,KP,8,F.A.T.A.,41,Mohmand,District,District,NA,NA,0,0,0,0,0,0,0
42,171,PAK,Pakistan,3,KP,KP,8,F.A.T.A.,42,N. Waziristan,District,District,NA,North Waziristan,1,1,0,1,1,1,0
43,171,PAK,Pakistan,3,KP,KP,8,F.A.T.A.,43,Orakzai,District,District,NA,NA,1,1,1,1,1,1,0
44,171,PAK,Pakistan,3,KP,KP,8,F.A.T.A.,44,S. Waziristan,District,District,NA,South Waziristan,1,1,0,1,1,1,0
45,171,PAK,Pakistan,4,F.C.T.,F.C.T.,9,Islamabad,45,Islamabad,District,District,NA,NA,0,0,0,0,0,0,0
46,171,PAK,Pakistan,5,KP,KP,10,Bannu,46,Bannu,District,District,NA,NA,0,0,0,0,0,0,0
47,171,PAK,Pakistan,5,KP,KP,10,Bannu,47,Lakki Marwat,District,District,NA,NA,0,0,0,0,0,0,0
48,171,PAK,Pakistan,5,KP,KP,11,Dera Ismail Khan,48,D.I. Khan,District,District,NA,D.I.Khan,1,1,1,1,1,1,0
49,171,PAK,Pakistan,5,KP,KP,11,Dera Ismail Khan,49,Tank,District,District,NA,NA,0,0,0,0,0,0,0
50,171,PAK,Pakistan,5,KP,KP,12,F.A.T.A.,50,Adam Khel,District,District,NA,NA,0,0,0,0,0,0,0
51,171,PAK,Pakistan,5,KP,KP,12,F.A.T.A.,51,Bhittani,District,District,NA,NA,0,0,0,0,0,0,0
52,171,PAK,Pakistan,5,KP,KP,13,Hazara,52,Abbottabad,District,District,NA,NA,0,0,0,0,0,0,0
53,171,PAK,Pakistan,5,KP,KP,13,Hazara,53,Battagram,District,District,NA,Batgram,0,0,0,0,0,0,0
54,171,PAK,Pakistan,5,KP,KP,13,Hazara,54,Haripur,District,District,NA,NA,0,0,0,0,0,0,0
55,171,PAK,Pakistan,5,KP,KP,13,Hazara,55,Kohistan,District,District,NA,NA,0,0,0,0,0,0,0
56,171,PAK,Pakistan,5,KP,KP,13,Hazara,56,Mansehra,District,District,NA,NA,0,0,0,0,0,0,0
57,171,PAK,Pakistan,5,KP,KP,14,Kohat,57,Hangu,District,District,NA,NA,0,0,0,0,0,0,0
58,171,PAK,Pakistan,5,KP,KP,14,Kohat,58,Karak,District,District,NA,NA,0,0,0,0,0,0,0
59,171,PAK,Pakistan,5,KP,KP,14,Kohat,59,Kohat,District,District,NA,NA,0,0,0,0,0,0,0
60,171,PAK,Pakistan,5,KP,KP,15,Malakand,60,Chitral,District,District,NA,NA,1,1,1,1,1,1,0
61,171,PAK,Pakistan,5,KP,KP,15,Malakand,61,Dir,District,District,NA,NA,0,0,0,0,0,0,0
62,171,PAK,Pakistan,5,KP,KP,15,Malakand,62,Malakand P.A.,District,District,NA,Malakand,0,0,0,0,0,0,0
63,171,PAK,Pakistan,5,KP,KP,15,Malakand,63,Shangla,District,District,NA,NA,0,0,0,0,0,0,0
64,171,PAK,Pakistan,5,KP,KP,15,Malakand,64,Swat,District,District,NA,NA,0,0,0,0,0,0,0
65,171,PAK,Pakistan,5,KP,KP,16,Mardan,65,Buner,District,District,NA,NA,0,0,0,0,0,0,0
66,171,PAK,Pakistan,5,KP,KP,16,Mardan,66,Mardan,District,District,NA,NA,0,0,0,0,0,0,0
67,171,PAK,Pakistan,5,KP,KP,16,Mardan,67,Swabi,District,District,NA,NA,0,0,0,0,0,0,0
68,171,PAK,Pakistan,5,KP,KP,17,Peshawar,68,Charsadda,District,District,NA,NA,0,0,0,0,0,0,0
69,171,PAK,Pakistan,5,KP,KP,17,Peshawar,69,Nowshera,District,District,NA,NA,0,0,0,0,0,0,0
70,171,PAK,Pakistan,5,KP,KP,17,Peshawar,70,Peshawar,District,District,NA,NA,0,0,0,0,0,0,0
71,171,PAK,Pakistan,6,KP,KP,18,Northern Areas,71,Chilas,District,District,NA,NA,0,0,0,0,0,0,0
72,171,PAK,Pakistan,6,KP,KP,18,Northern Areas,72,Gilgit (Tribal Territory),District,District,NA,NA,0,0,0,0,0,0,0
73,171,PAK,Pakistan,6,KP,KP,18,Northern Areas,73,Gilgit,District,District,NA,NA,0,0,0,0,0,0,0
74,171,PAK,Pakistan,6,KP,KP,18,Northern Areas,74,Kargil,District,District,NA,NA,0,0,0,0,0,0,0
75,171,PAK,Pakistan,6,KP,KP,18,Northern Areas,75,Kupwara (Gilgit Wazarat),District,District,NA,NA,0,0,0,0,0,0,0
76,171,PAK,Pakistan,6,KP,KP,18,Northern Areas,76,Ladakh (Leh),District,District,NA,NA,0,0,0,0,0,0,0
77,171,PAK,Pakistan,7,Punjab,Punjab,19,Bahawalpur,77,Bahawalnagar,District,District,NA,NA,0,0,0,0,0,0,0
78,171,PAK,Pakistan,7,Punjab,Punjab,19,Bahawalpur,78,Bahawalpur,District,District,NA,Bhawalpur,0,0,0,0,0,0,0
79,171,PAK,Pakistan,7,Punjab,Punjab,19,Bahawalpur,79,Rahimyar Khan,District,District,NA,Rahim Yar Khan,0,0,0,0,0,0,0
80,171,PAK,Pakistan,7,Punjab,Punjab,20,Dera Ghazi Khan,80,Dera Ghazi Kha,District,District,NA,NA,0,0,0,0,0,0,0
81,171,PAK,Pakistan,7,Punjab,Punjab,20,Dera Ghazi Khan,81,Layyah,District,District,NA,Lieah,0,0,0,0,0,0,0
82,171,PAK,Pakistan,7,Punjab,Punjab,20,Dera Ghazi Khan,82,Muzaffargarh,District,District,NA,NA,1,1,1,1,1,1,0
83,171,PAK,Pakistan,7,Punjab,Punjab,20,Dera Ghazi Khan,83,Rajanpur,District,District,NA,Rajanpur,1,1,1,1,1,1,0
84,171,PAK,Pakistan,7,Punjab,Punjab,21,Faisalabad,84,Faisalabad,District,District,NA,NA,0,0,0,0,0,0,0
85,171,PAK,Pakistan,7,Punjab,Punjab,21,Faisalabad,85,Jhang,District,District,NA,NA,1,1,1,1,1,1,0
86,171,PAK,Pakistan,7,Punjab,Punjab,21,Faisalabad,86,Toba Tek Singh,District,District,NA,NA,0,0,0,0,0,0,0
87,171,PAK,Pakistan,7,Punjab,Punjab,22,Gujranwala,87,Gujarat,District,District,NA,NA,0,0,0,0,0,0,0
88,171,PAK,Pakistan,7,Punjab,Punjab,22,Gujranwala,88,Gujranwala 1,District,District,NA,NA,0,0,0,0,0,0,0
89,171,PAK,Pakistan,7,Punjab,Punjab,22,Gujranwala,89,Gujranwala 2,District,District,NA,NA,0,0,0,0,0,0,0
90,171,PAK,Pakistan,7,Punjab,Punjab,22,Gujranwala,90,Gujrat,District,District,NA,Gujarat,0,0,0,0,0,0,0
91,171,PAK,Pakistan,7,Punjab,Punjab,22,Gujranwala,91,Hafizabad,District,District,NA,NA,0,0,0,0,0,0,0
92,171,PAK,Pakistan,7,Punjab,Punjab,22,Gujranwala,92,Narowal 1,District,District,NA,Norowal,0,0,0,0,0,0,0
93,171,PAK,Pakistan,7,Punjab,Punjab,22,Gujranwala,93,Narowal 2,District,District,NA,Norowal,0,0,0,0,0,0,0
94,171,PAK,Pakistan,7,Punjab,Punjab,22,Gujranwala,94,Sialkot,District,District,NA,NA,0,0,0,0,0,0,0
95,171,PAK,Pakistan,7,Punjab,Punjab,23,Lahore,95,Kasur,District,District,NA,NA,0,0,0,0,0,0,0
96,171,PAK,Pakistan,7,Punjab,Punjab,23,Lahore,96,Lahore,District,District,NA,NA,0,0,0,0,0,0,0
97,171,PAK,Pakistan,7,Punjab,Punjab,23,Lahore,97,Nankana Sahib,District,District,NA,NA,0,0,0,0,0,0,0
98,171,PAK,Pakistan,7,Punjab,Punjab,23,Lahore,98,Okara 1,District,District,NA,NA,0,0,0,0,0,0,0
99,171,PAK,Pakistan,7,Punjab,Punjab,23,Lahore,99,Okara,District,District,NA,NA,0,0,0,0,0,0,0
100,171,PAK,Pakistan,7,Punjab,Punjab,23,Lahore,100,Sheikhupura,District,District,NA,NA,0,0,0,0,0,0,0
101,171,PAK,Pakistan,7,Punjab,Punjab,24,Multan,101,Khanewal,District,District,NA,NA,0,0,0,0,0,0,0
102,171,PAK,Pakistan,7,Punjab,Punjab,24,Multan,102,Lodhran,District,District,NA,NA,0,0,0,0,0,0,0
103,171,PAK,Pakistan,7,Punjab,Punjab,24,Multan,103,Multan,District,District,NA,NA,0,0,0,0,0,0,0
104,171,PAK,Pakistan,7,Punjab,Punjab,24,Multan,104,Pakpattan,District,District,NA,NA,0,0,0,0,0,0,0
105,171,PAK,Pakistan,7,Punjab,Punjab,24,Multan,105,Sahiwal,District,District,NA,NA,0,0,0,0,0,0,0
106,171,PAK,Pakistan,7,Punjab,Punjab,24,Multan,106,Vehari,District,District,NA,NA,0,0,0,0,0,0,0
107,171,PAK,Pakistan,7,Punjab,Punjab,25,Rawalpindi,107,Attok,District,District,NA,Attock,0,0,0,0,0,0,0
108,171,PAK,Pakistan,7,Punjab,Punjab,25,Rawalpindi,108,Chakwal,District,District,NA,NA,0,0,0,0,0,0,0
109,171,PAK,Pakistan,7,Punjab,Punjab,25,Rawalpindi,109,Jhelum,District,District,NA,NA,0,0,0,0,0,0,0
110,171,PAK,Pakistan,7,Punjab,Punjab,25,Rawalpindi,110,Rawalpindi,District,District,NA,NA,0,0,0,0,0,0,0
111,171,PAK,Pakistan,7,Punjab,Punjab,26,Sargodha,111,Bhakkar,District,District,NA,NA,0,0,0,0,0,0,0
112,171,PAK,Pakistan,7,Punjab,Punjab,26,Sargodha,112,Khushab,District,District,NA,NA,0,0,0,0,0,0,0
113,171,PAK,Pakistan,7,Punjab,Punjab,26,Sargodha,113,Mianwali,District,District,NA,NA,0,0,0,0,0,0,0
114,171,PAK,Pakistan,7,Punjab,Punjab,26,Sargodha,114,Sargodha,District,District,NA,NA,0,0,0,0,0,0,0
115,171,PAK,Pakistan,8,Sindh,Sindh,27,Hyderabad,115,Badin,District,District,NA,NA,0,0,0,0,0,0,0
116,171,PAK,Pakistan,8,Sindh,Sindh,27,Hyderabad,116,Dadu,District,District,NA,NA,1,1,1,1,1,1,0
117,171,PAK,Pakistan,8,Sindh,Sindh,27,Hyderabad,117,Hyderabad,District,District,NA,NA,0,0,0,0,0,0,0
118,171,PAK,Pakistan,8,Sindh,Sindh,27,Hyderabad,118,Jamshoro,District,District,NA,NA,0,0,0,0,0,0,0
119,171,PAK,Pakistan,8,Sindh,Sindh,27,Hyderabad,119,Matiari,District,District,NA,NA,0,0,0,0,0,0,0
120,171,PAK,Pakistan,8,Sindh,Sindh,27,Hyderabad,120,Tando Allahyar,District,District,NA,NA,0,0,0,0,0,0,0
121,171,PAK,Pakistan,8,Sindh,Sindh,27,Hyderabad,121,Tando M. Khan,District,District,NA,NA,0,0,0,0,0,0,0
122,171,PAK,Pakistan,8,Sindh,Sindh,27,Hyderabad,122,Thatta,District,District,NA,NA,0,0,0,0,0,0,0
123,171,PAK,Pakistan,8,Sindh,Sindh,28,Karachi,123,Karachi Central,District,District,NA,NA,0,0,0,0,0,0,0
124,171,PAK,Pakistan,8,Sindh,Sindh,28,Karachi,124,Karachi East,District,District,NA,NA,0,0,0,0,0,0,0
125,171,PAK,Pakistan,8,Sindh,Sindh,28,Karachi,125,Karachi South,District,District,NA,NA,0,0,0,0,0,0,0
126,171,PAK,Pakistan,8,Sindh,Sindh,28,Karachi,126,Karachi west,District,District,NA,NA,0,0,0,0,0,0,0
127,171,PAK,Pakistan,8,Sindh,Sindh,28,Karachi,127,Malir,District,District,NA,NA,0,0,0,0,0,0,0
128,171,PAK,Pakistan,8,Sindh,Sindh,29,Larkana,128,Jakobabad,District,District,NA,NA,0,0,0,0,0,0,0
129,171,PAK,Pakistan,8,Sindh,Sindh,29,Larkana,129,Kashmore,District,District,NA,NA,1,1,1,1,1,1,0
130,171,PAK,Pakistan,8,Sindh,Sindh,29,Larkana,130,Larkana,District,District,NA,NA,0,0,0,0,0,0,0
131,171,PAK,Pakistan,8,Sindh,Sindh,29,Larkana,131,Shikarpur,District,District,NA,NA,0,0,0,0,0,0,0
132,171,PAK,Pakistan,8,Sindh,Sindh,30,Mirpur Khas,132,Mirphurkhas,District,District,NA,NA,0,0,0,0,0,0,0
133,171,PAK,Pakistan,8,Sindh,Sindh,30,Mirpur Khas,133,Tharparkar,District,District,NA,NA,1,1,1,1,1,1,0
134,171,PAK,Pakistan,8,Sindh,Sindh,30,Mirpur Khas,134,Sanghar,District,District,NA,NA,0,0,0,0,0,0,0
135,171,PAK,Pakistan,8,Sindh,Sindh,30,Mirpur Khas,135,Umerkot,District,District,NA,Umarkot,0,0,0,0,0,0,0
136,171,PAK,Pakistan,8,Sindh,Sindh,31,Rann of Kutch,136,Rann of Kutch,District,District,NA,NA,0,0,0,0,0,0,0
137,171,PAK,Pakistan,8,Sindh,Sindh,32,Sukkur,137,Ghotki,District,District,NA,NA,1,1,1,1,1,1,0
138,171,PAK,Pakistan,8,Sindh,Sindh,32,Sukkur,138,Khairpur,District,District,NA,NA,0,0,0,0,0,0,0
139,171,PAK,Pakistan,8,Sindh,Sindh,32,Sukkur,139,Naushahro Firoz,District,District,NA,NA,0,0,0,0,0,0,0
140,171,PAK,Pakistan,8,Sindh,Sindh,32,Sukkur,140,Nawab Shah,District,District,NA,Nawabshah,0,0,0,0,0,0,0
141,171,PAK,Pakistan,8,Sindh,Sindh,32,Sukkur,141,Sukkur,District,District,NA,NA,0,0,0,0,0,0,0
